
---------- Begin Simulation Statistics ----------
simSeconds                                   0.063845                       # Number of seconds simulated (Second)
simTicks                                  63845471235                       # Number of ticks simulated (Tick)
finalTick                                 63845471235                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    799.40                       # Real time elapsed on the host (Second)
hostTickRate                                 79866568                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     775224                       # Number of bytes of host memory used (Byte)
simInsts                                    430328306                       # Number of instructions simulated (Count)
simOps                                      430330093                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   538313                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     538315                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       172479170                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.700752                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.427037                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      261751544                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    8981                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     255776086                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                152642                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            15625345                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         11036014                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               4695                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          172249950                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.484912                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.836370                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 75619608     43.90%     43.90% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 32395052     18.81%     62.71% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 21995283     12.77%     75.48% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 16069159      9.33%     84.81% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 12360328      7.18%     91.98% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  6289520      3.65%     95.63% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  3719396      2.16%     97.79% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  2435129      1.41%     99.21% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  1366475      0.79%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            172249950                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 402299     12.59%     12.59% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                 45584      1.43%     14.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                  22034      0.69%     14.71% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                 1228      0.04%     14.74% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     14.74% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     14.74% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult             2054942     64.31%     79.05% # attempts to use FU when none available (Count)
