
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007564                       # Number of seconds simulated (Second)
simTicks                                   7563727227                       # Number of ticks simulated (Tick)
finalTick                                  7563727227                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     63.74                       # Real time elapsed on the host (Second)
hostTickRate                                118660505                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     767136                       # Number of bytes of host memory used (Byte)
simInsts                                     44350150                       # Number of instructions simulated (Count)
simOps                                       44350297                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   695769                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     695771                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        21046115                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.669447                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.493771                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       33185394                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   70306                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      32747967                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 27368                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             1817513                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          1891171                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               4008                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           20945045                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.563519                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.168580                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 11129456     53.14%     53.14% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  2239621     10.69%     63.83% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  2051028      9.79%     73.62% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  1368260      6.53%     80.15% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  1493275      7.13%     87.28% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                   892684      4.26%     91.55% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                   959538      4.58%     96.13% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   381702      1.82%     97.95% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   429481      2.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             20945045                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 101622     12.60%     12.60% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                    44      0.01%     12.60% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                     39      0.00%     12.61% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                 1923      0.24%     12.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     12.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                38655      4.79%     17.64% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult               75485      9.36%     27.00% # attempts to use FU when none available (Count)
