
---------- Begin Simulation Statistics ----------
simSeconds                                   0.019326                       # Number of seconds simulated (Second)
simTicks                                  19325895120                       # Number of ticks simulated (Tick)
finalTick                                 19325895120                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    335.52                       # Real time elapsed on the host (Second)
hostTickRate                                 57599432                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     763336                       # Number of bytes of host memory used (Byte)
simInsts                                    179368734                       # Number of instructions simulated (Count)
simOps                                      179432427                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   534595                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     534785                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        51764140                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.582583                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.716494                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       98164834                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  206609                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      94765870                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 23959                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             9485452                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          7026427                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              29581                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           51626480                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.835606                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.771853                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 15736395     30.48%     30.48% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  9341410     18.09%     48.58% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 12038422     23.32%     71.89% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  4809666      9.32%     81.21% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  4214337      8.16%     89.37% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  3535493      6.85%     96.22% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  1459332      2.83%     99.05% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   303587      0.59%     99.64% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   187838      0.36%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             51626480                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                  20126      0.16%      0.16% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                  1197      0.01%      0.17% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                     74      0.00%      0.17% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                 4940      0.04%      0.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                 5135      0.04%      0.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                   47      0.00%      0.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult            10706054     85.27%     85.52% # attempts to use FU when none available (Count)
