
---------- Begin Simulation Statistics ----------
simSeconds                                   0.065507                       # Number of seconds simulated (Second)
simTicks                                  65506678272                       # Number of ticks simulated (Tick)
finalTick                                 65506678272                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    828.60                       # Real time elapsed on the host (Second)
hostTickRate                                 79057528                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     834412                       # Number of bytes of host memory used (Byte)
simInsts                                    430066426                       # Number of instructions simulated (Count)
simOps                                      647120883                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   519031                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     780986                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       177336923                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.737116                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.356638                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      389888341                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   12036                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     383707736                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 69837                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            19650806                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         34423605                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               4839                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          177039898                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.167352                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.551825                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 83290265     47.05%     47.05% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 12119866      6.85%     53.89% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 12561540      7.10%     60.99% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 16584396      9.37%     70.35% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 13076210      7.39%     77.74% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 13831567      7.81%     85.55% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 10685410      6.04%     91.59% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  7988685      4.51%     96.10% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  6901959      3.90%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            177039898                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                1868665     77.68%     77.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     77.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     77.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     77.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     77.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     77.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     77.68% # attempts to use FU when none available (Count)
