
---------- Begin Simulation Statistics ----------
simSeconds                                   0.009348                       # Number of seconds simulated (Second)
simTicks                                   9347953965                       # Number of ticks simulated (Tick)
finalTick                                  9347953965                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    112.02                       # Real time elapsed on the host (Second)
hostTickRate                                 83447774                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     794624                       # Number of bytes of host memory used (Byte)
simInsts                                     54404685                       # Number of instructions simulated (Count)
simOps                                       89387490                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   485661                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     797947                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        26021596                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.659497                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.516306                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       67225150                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    1274                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      67105026                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  1299                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              780138                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           691339                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                575                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           25853414                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.595596                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.551653                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  9600799     37.14%     37.14% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  1735713      6.71%     43.85% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  2167092      8.38%     52.23% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  3043885     11.77%     64.01% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  2359889      9.13%     73.13% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  2557033      9.89%     83.02% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  1813599      7.01%     90.04% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  1806073      6.99%     97.02% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   769331      2.98%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             25853414                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 193890     77.65%     77.65% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     77.65% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     77.65% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     77.65% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     77.65% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     77.65% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     77.65% # attempts to use FU when none available (Count)
