
---------- Begin Simulation Statistics ----------
simSeconds                                   0.018939                       # Number of seconds simulated (Second)
simTicks                                  18939375504                       # Number of ticks simulated (Tick)
finalTick                                 18939375504                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    386.34                       # Real time elapsed on the host (Second)
hostTickRate                                 49022099                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     800676                       # Number of bytes of host memory used (Byte)
simInsts                                    218480219                       # Number of instructions simulated (Count)
simOps                                      347949318                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   565507                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     900621                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        50528827                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.466860                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              2.141971                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      181192972                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  259276                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     178053307                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 20383                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             8922493                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         14833204                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              95638                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           50338743                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              3.537103                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.551091                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  8565401     17.02%     17.02% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  4039468      8.02%     25.04% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  5522832     10.97%     36.01% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  7771944     15.44%     51.45% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  8856087     17.59%     69.04% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  3753690      7.46%     76.50% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  3165823      6.29%     82.79% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  2843377      5.65%     88.44% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  5820121     11.56%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             50338743                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 378361     52.77%     52.77% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     52.77% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     52.77% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    7      0.00%     52.77% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     52.77% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     52.77% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     52.77% # attempts to use FU when none available (Count)
